territory_id,pair_id,reef_location,fish_id,fish_no,fertilizer_trt,total_length,standard_length,total_body_weight,gutted_body_weight,liver_weight,gonad_weight,sex,intestine_length,intestine_diameter_1,intestine_diameter_2,intestine_diameter_3,intestine_diameter_4,intestine_diameter_5,intestine_diameter_6,intestine_diameter_7,intestine_diameter_8,intestine_diameter_9,intestine_diameter_10,mean_intestine_diameter,intestinal_surface_area,gut_fullness_index,gonadosomatic_index,hepatosomatic_index,body_condition_factor
1,A-Fringing,Fringing,1-Jan,1,N,9.6,7,21.5,19.5,0.0098,,,24.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,31.79920084,10.20615385,,0.05025641,2.204047309
34,B-Backreef,Backreef,34-3,3,N,5.7,4.4,4.5,4.2,0.0036,,,8.2,0.1,0.2,0.1,0.2,0.1,0.1,0.005,0.1,0.2,0.3,0.1405,7.238857792,7.057142857,,0.085714286,2.267904294
4,B-Fringing,Fringing,4-Apr,4,Y,11.2,8.4,35.9,32.8,0.0563,,,17.4,0.3,0.3,0.4,0.2,0.4,0.3,0.4,0.3,0.4,0.4,0.34,37.17132428,9.279573171,,0.171646342,2.334639213
53,L-Backreef,Backreef,53-3,3,N,10,6.9,24.3,21.5,0.0452,,,18.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,35.06017401,12.81302326,,0.210232558,2.15
52,K-Backreef,Backreef,52-1,1,N,8.2,6.4,14.9,13.8,0.0341,,,7.4,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.18,8.369202829,7.723913043,,0.247101449,2.5028656
54,L-Backreef,Backreef,54-6,6,Y,8.5,5.7,19.7,17.4,0.0439,,,26.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.32,52.47716369,12.96609195,,0.252298851,2.83329941
10,E-Fringing,Fringing,7-Oct,7,Y,13.6,10.2,62.8,55.7,0.1705,,,45.6,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.41,117.4704325,12.44075404,,0.306104129,2.214310248
29,O-Fringing,Fringing,29-1,1,N,10.2,7.8,32.1,29.3,0.0984,,,16.4,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,30.91327171,9.220477816,,0.335836178,2.76100444
7,D-Fringing,Fringing,6-Jul,6,N,10.4,8.1,24.9,22.9,0.0927,,,14.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,27.52035165,8.328820961,,0.404803493,2.035801661
8,D-Fringing,Fringing,4-Aug,4,Y,7.5,5.1,7.9,7.1,0.0288,,,14.7,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.15,13.8544236,10.86197183,,0.405633803,1.682962963
52,K-Backreef,Backreef,52-2,2,N,12.5,9.1,53.3,48.3,0.2083,,,24.1,0.3,0.2,0.3,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.32,48.45592509,9.920703934,,0.43126294,2.47296
24,L-Fringing,Fringing,24-3,3,Y,8.3,6.2,14.2,12.9,0.0636,,,11.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,14.07433509,9.584496124,,0.493023256,2.256084871
20,J-Fringing,Fringing,20-2,2,Y,11,8,30.9,29,0.1485,,,20.6,0.2,0.3,0.4,0.2,0.2,0.2,0.3,0.2,0.4,0.5,0.29,37.53574903,6.039655172,,0.512068966,2.178812923
53,L-Backreef,Backreef,53-2,2,N,11.1,8.2,30,27.3,0.1465,,,20,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,36.44247478,9.353479853,,0.536630037,1.996152471
23,L-Fringing,Fringing,23-1,1,N,11,8.2,36.8,33.2,0.3476,,,25.8,0.2,0.4,0.5,0.4,0.4,0.2,0.5,0.4,0.4,0.4,0.38,61.60034875,9.796385542,,1.046987952,2.494365139
10,E-Fringing,Fringing,3-Oct,3,Y,12.6,9.6,54.5,50.1,0.0712,0.0474,M,35.1,0.5,0.5,0.3,0.2,0.4,0.3,0.3,0.3,0.4,0.3,0.35,77.1889315,8.545708583,0.094610778,0.142115769,2.504529149
