territory_no,pair_id,sample_id,fertilizer_trt,reef_location,territory_position,weighboat,dry_weight,sediment_accumulation,sedimentation_rate
T1,A-Fringing,T1-I,N,Fringing,Inside,1.92,2.264,0.344,30.71428571
T1,A-Fringing,T1-O,N,Fringing,Outside,1.901,2.3613,0.4603,41.09821429
T10,E-Fringing,T10-I,Y,Fringing,Inside,1.884,2.4807,0.5967,53.27678571
T10,E-Fringing,T10-O,Y,Fringing,Outside,1.888,2.3894,0.5014,44.76785714
T11,F-Fringing,T11-I,Y,Fringing,Inside,1.87,2.3526,0.4826,43.08928571
T11,F-Fringing,T11-O,Y,Fringing,Outside,1.895,2.3332,0.4382,39.125
T12,F-Fringing,T12-I,N,Fringing,Inside,1.874,2.6046,0.7306,65.23214286
T12,F-Fringing,T12-O,N,Fringing,Outside,1.889,2.1219,0.2329,20.79464286
T13,G-Fringing,T13-I,Y,Fringing,Inside,1.887,1.9424,0.0554,4.94642857
T13,G-Fringing,T13-O,Y,Fringing,Outside,1.899,2.5265,0.6275,56.02678571
T14,G-Fringing,T14-I,N,Fringing,Inside,1.916,2.3843,0.4683,41.8125
T14,G-Fringing,T14-O,N,Fringing,Outside,1.894,1.975,0.081,7.23214286
T15,H-Fringing,T15-I,N,Fringing,Inside,1.92,2.6872,0.7672,68.5
T15,H-Fringing,T15-O,N,Fringing,Outside,1.903,2.3135,0.4105,36.65178571
T16,H-Fringing,T16-I,Y,Fringing,Inside,1.9,2.4556,0.5556,49.60714286
T16,H-Fringing,T16-O,Y,Fringing,Outside,1.932,2.728,0.796,71.07142857
T17,I-Fringing,T17-I,N,Fringing,Inside,1.895,2.5657,0.6707,59.88392857
T17,I-Fringing,T17-O,N,Fringing,Outside,1.892,2.4551,0.5631,50.27678571
T18,I-Fringing,T18-I,Y,Fringing,Inside,1.879,2.2374,0.3584,32
T18,I-Fringing,T18-O,Y,Fringing,Outside,1.912,2.6059,0.6939,61.95535714
T19,J-Fringing,T19-I,N,Fringing,Inside,1.8902,2.2578,0.3676,32.82142857
T19,J-Fringing,T19-O,N,Fringing,Outside,1.888,2.1468,0.2588,23.10714286
T2,A-Fringing,T2-I,Y,Fringing,Inside,1.891,2.49,0.599,53.48214286
T2,A-Fringing,T2-O,Y,Fringing,Outside,1.892,2.0642,0.1722,15.375
T20,J-Fringing,T20-I,N,Fringing,Inside,1.912,2.3434,0.4314,38.51785714
T20,J-Fringing,T20-O,N,Fringing,Outside,1.87,2.2178,0.3478,31.05357143
T21,K-Fringing,T21-I,Y,Fringing,Inside,1.878,2.0167,0.1387,12.38392857
T21,K-Fringing,T21-O,Y,Fringing,Outside,1.881,1.9515,0.0705,6.29464286
T22,K-Fringing,T22-I,N,Fringing,Inside,1.898,2.342,0.444,39.64285714
T22,K-Fringing,T22-O,N,Fringing,Outside,1.893,2.0687,0.1757,15.6875
T23,L-Fringing,T23-I,Y,Fringing,Inside,0.854,0.8982,0.0442,3.94642857
T23,L-Fringing,T23-O,Y,Fringing,Outside,1.888,2.0249,0.1369,12.22321429
T24,L-Fringing,T24-I,Y,Fringing,Inside,1.906,2.3921,0.4861,43.40178571
T24,L-Fringing,T24-O,Y,Fringing,Outside,1.887,2.0548,0.1678,14.98214286
T25,M-Fringing,T25-I,N,Fringing,Inside,1.878,2.061,0.183,16.33928571
T25,M-Fringing,T25-O,N,Fringing,Outside,1.894,2.0486,0.1546,13.80357143
T26,M-Fringing,T26-I,Y,Fringing,Inside,0.845,0.9734,0.1284,11.46428571
T26,M-Fringing,T26-O,Y,Fringing,Outside,1.927,2.2044,0.2774,24.76785714
T27,N-Fringing,T27-I,N,Fringing,Inside,1.892,2.4856,0.5936,53
T27,N-Fringing,T27-O,N,Fringing,Outside,1.881,2.0844,0.2034,18.16071429
T28,N-Fringing,T28-I,N,Fringing,Inside,0.851,0.9187,0.0677,6.04464286
T28,N-Fringing,T28-O,N,Fringing,Outside,0.843,0.9805,0.1375,12.27678571
T29,O-Fringing,T29-I,N,Fringing,Inside,0.852,1.0462,0.1942,17.33928571
T29,O-Fringing,T29-O,N,Fringing,Outside,0.856,0.8787,0.0227,2.02678571
T3,B-Fringing,T3-O,N,Fringing,Outside,1.875,2.116,0.241,21.51785714
T30,O-Fringing,T30-I,Y,Fringing,Inside,1.872,2.1872,0.3152,28.14285714
T30,O-Fringing,T30-O,Y,Fringing,Outside,0.846,0.894,0.048,4.28571429
T31,A-Backreef,T31-O,N,Backreef,Outside,0.843,0.8863,0.0433,3.86607143
T32,A-Backreef,T32-O,Y,Backreef,Outside,1.887,2.029,0.142,12.67857143
T33,B-Backreef,T33-I,Y,Backreef,Inside,1.915,2.0468,0.1318,11.76785714
T33,B-Backreef,T33-O,Y,Backreef,Outside,0.852,0.8795,0.0275,2.45535714
T34,B-Backreef,T34-I,N,Backreef,Inside,1.843,1.905,0.062,5.53571429
T34,B-Backreef,T34-O,N,Backreef,Outside,0.857,0.8682,0.0112,1
T35,C-Backreef,T35-I,N,Backreef,Inside,1.884,1.962,0.078,6.96428571
T35,C-Backreef,T35-O,N,Backreef,Outside,0.845,0.8787,0.0337,3.00892857
T36,C-Backreef,T36-I,Y,Backreef,Inside,1.889,2.3423,0.4533,40.47321429
T36,C-Backreef,T36-O,Y,Backreef,Outside,0.837,0.8548,0.0178,1.58928571
T37,D-Backreef,T37-I,N,Backreef,Inside,1.901,2.4006,0.4996,44.60714286
T37,D-Backreef,T37-O,N,Backreef,Outside,1.901,1.9385,0.0375,3.34821429
T38,D-Backreef,T38-I,N,Backreef,Inside,1.885,1.9703,0.0853,7.61607143
T38,D-Backreef,T38-O,N,Backreef,Outside,1.876,2.0943,0.2183,19.49107143
T39,E-Backreef,T39-I,N,Fringing,Inside,0.851,0.8576,0.0066,0.58928571
T39,E-Backreef,T39-O,Y,Backreef,Outside,0.857,0.9269,0.0699,6.24107143
T4,B-Fringing,T4-I,Y,Fringing,Inside,1.922,2.0796,0.1576,14.07142857
T4,B-Fringing,T4-O,Y,Fringing,Outside,1.881,1.9725,0.0915,8.16964286
T40,E-Backreef,T40-O,N,Backreef,Outside,1.876,1.9186,0.0426,3.80357143
T41,F-Backreef,T41-I,N,Backreef,Inside,1.884,2.0746,0.1906,17.01785714
T41,F-Backreef,T41-O,N,Backreef,Outside,1.876,1.9827,0.1067,9.52678571
T42,F-Backreef,T42-I,Y,Backreef,Inside,1.883,1.9964,0.1134,10.125
T42,F-Backreef,T42-O,Y,Backreef,Outside,0.841,0.8757,0.0347,3.09821429
T43,G-Backreef,T43-I,N,Backreef,Inside,1.893,2.1866,0.2936,26.21428571
T43,G-Backreef,T43-O,N,Backreef,Outside,1.881,1.9165,0.0355,3.16964286
T44,G-Backreef,T44-I,Y,Backreef,Inside,1.907,2.0692,0.1622,14.48214286
T44,G-Backreef,T44-O,Y,Backreef,Outside,1.89,2.2422,0.3522,31.44642857
T45,H-Backreef,T45-O,N,Backreef,Outside,0.853,0.9074,0.0544,4.85714286
T46,H-Backreef,T46-I,Y,Backreef,Inside,1.904,2.1426,0.2386,21.30357143
T46,H-Backreef,T46-O,Y,Backreef,Outside,0.838,0.8919,0.0539,4.8125
T47,I-Backreef,T47-I,Y,Backreef,Inside,1.898,2.2005,0.3025,27.00892857
T47,I-Backreef,T47-O,Y,Backreef,Outside,1.846,2.0866,0.2406,21.48214286
T48,I-Backreef,T48-I,N,Backreef,Inside,1.885,2.0131,0.1281,11.4375
T48,I-Backreef,T48-O,N,Backreef,Outside,1.887,2.1183,0.2313,20.65178571
T49,J-Backreef,T49-I,N,Backreef,Inside,1.877,1.8933,0.0163,1.45535714
T49,J-Backreef,T49-O,N,Backreef,Outside,1.915,2.0061,0.0911,8.13392857
T5,C-Fringing,T5-O,N,Fringing,Outside,1.883,2.0049,0.1219,10.88392857
T50,J-Backreef,T50-I,Y,Backreef,Inside,1.878,1.9861,0.1081,9.65178571
T50,J-Backreef,T50-O,Y,Backreef,Outside,1.89,2.0116,0.1216,10.85714286
T51,K-Backreef,T51-I,Y,Backreef,Inside,1.892,2.0821,0.1901,16.97321429
T51,K-Backreef,T51-O,Y,Backreef,Outside,1.907,1.9896,0.0826,7.375
T52,K-Backreef,T52-I,N,Backreef,Inside,1.905,1.9452,0.0402,3.58928571
T52,K-Backreef,T52-O,N,Backreef,Outside,0.841,0.8687,0.0277,2.47321429
T53,L-Backreef,T53-I,Y,Backreef,Inside,1.876,2.1167,0.2407,21.49107143
T53,L-Backreef,T53-O,Y,Backreef,Outside,0.85,0.8679,0.0179,1.59821429
T54,L-Backreef,T54-I,Y,Backreef,Inside,1.881,2.0192,0.1382,12.33928571
T54,L-Backreef,T54-O,Y,Backreef,Outside,1.901,2.0495,0.1485,13.25892857
T55,M-Backreef,T55-I,Y,Backreef,Inside,1.892,2.1436,0.2516,22.46428571
T55,M-Backreef,T55-O,Y,Backreef,Outside,1.892,2.2039,0.3119,27.84821429
T56,M-Backreef,T56-I,N,Backreef,Inside,1.912,2.1948,0.2828,25.25
T56,M-Backreef,T56-O,N,Backreef,Outside,1.871,1.9328,0.0618,5.51785714
T57,N-Backreef,T57-I,Y,Backreef,Inside,1.873,2.5935,0.7205,64.33035714
T57,N-Backreef,T57-O,Y,Backreef,Outside,1.879,2.0968,0.2178,19.44642857
T58,N-Backreef,T58-I,N,Backreef,Inside,1.876,2.0821,0.2061,18.40178571
T58,N-Backreef,T58-O,N,Backreef,Outside,0.85,0.8625,0.0125,1.11607143
T59,O-Backreef,T59-I,Y,Backreef,Inside,1.885,2.0604,0.1754,15.66071429
T59,O-Backreef,T59-O,Y,Backreef,Outside,1.902,2.0718,0.1698,15.16071429
T6,C-Fringing,T6-I,Y,Fringing,Inside,1.909,3.1437,1.2347,110.2410714
T6,C-Fringing,T6-O,Y,Fringing,Outside,1.912,2.9113,0.9993,89.22321429
T60,O-Backreef,T60-I,Y,Backreef,Inside,0.849,0.9009,0.0519,4.63392857
T60,O-Backreef,T60-O,Y,Backreef,Outside,1.873,1.9018,0.0288,2.57142857
T7,D-Fringing,T7-I,N,Fringing,Inside,1.905,2.1078,0.2028,18.10714286
T7,D-Fringing,T7-O,N,Fringing,Outside,1.877,2.0794,0.2024,18.07142857
T8,D-Fringing,T8-I,Y,Fringing,Inside,1.886,2.4772,0.5912,52.78571429
T8,D-Fringing,T8-O,Y,Fringing,Outside,1.896,2.0808,0.1848,16.5
T9,E-Fringing,T9-I,N,Fringing,Inside,1.877,2.5159,0.6389,57.04464286
T9,E-Fringing,T9-O,N,Fringing,Outside,1.901,2.5759,0.6749,60.25892857
